norad_cat_id,sat_id,name,names,image,status,decayed,launched,deployed,website,operator,countries,telemetries,updated,citation,associated_satellites
39151,VOMS-7869-4280-6333-8162,NEE-01 PEGASUS,NEE-01,satellites/NEE-01_PEGASUS.jpg,alive,,2013-04-26,,,None,ECU,[],2021-07-21T10:11:42.119270Z,CITATION NEEDED - https://xkcd.com/285/,[]
39152,OUUD-8724-9347-4069-3787,Unknown Satellite,,,alive,,2013-04-26,,,None,TURK,[],2021-07-21T10:11:42.120605Z,CITATION NEEDED - https://xkcd.com/285/,[]
39153,HXCH-9043-9893-2952-4877,CUBEBUG-1,CAPITAN BETO,satellites/CUBEBUG-1.jpg,alive,,2013-04-26,,,None,ARGN,[],2021-07-21T10:11:42.121912Z,CITATION NEEDED - https://xkcd.com/285/,[]
39161,PPAK-3897-6161-8267-9600,ESTCUBE 1,,satellites/ESTCUBE-1.jpg,alive,,2013-05-07,,,None,EST,[],2021-07-21T10:11:42.123326Z,CITATION NEEDED - https://xkcd.com/285/,[]
39260,YVMN-3096-6332-4393-7492,FENGYUN 3C,Feng-Yun-3C,,alive,,2013-09-23,,,None,PRC,[],2021-07-21T10:11:42.124690Z,CITATION NEEDED - https://xkcd.com/285/,[]
39265,ZTVC-1642-9897-2227-8386,CASSIOPE,,satellites/CASSIOPE_satellite.jpeg,alive,,2013-09-29,,,None,CA,[],2021-07-21T10:11:42.126042Z,CITATION NEEDED - https://xkcd.com/285/,[]
39381,POSH-8480-5225-7899-6098,PHONESAT 2.4,,satellites/PHONESAT_2.4_vB6xg6c.png,re-entered,2017-01-31,2013-11-20,,,None,US,[],2021-07-21T10:11:42.127388Z,CITATION NEEDED - https://xkcd.com/285/,[]
39382,ETNK-7168-8466-2812-2733,CAPE-2,,satellites/CAPE-2.jpg,re-entered,2014-10-23,2013-11-20,,,None,US,[],2021-07-21T10:11:42.128708Z,CITATION NEEDED - https://xkcd.com/285/,[]
39383,ZDHX-1438-9792-0063-7767,DRAGONSAT-1,,satellites/DRAGONSAT-1.jpg,re-entered,2016-08-31,2013-11-20,,,None,US,[],2021-07-21T10:11:42.130143Z,CITATION NEEDED - https://xkcd.com/285/,[]
39384,KMOS-8479-8668-2060-1108,KYSAT-2,,satellites/KYSAT-2.jpg,re-entered,2015-02-12,2013-11-20,,,None,US,[],2021-07-21T10:11:42.131523Z,CITATION NEEDED - https://xkcd.com/285/,[]
39385,XJVV-5632-8590-3325-8137,TJ3SAT,,satellites/TJ3SAT.jpg,re-entered,2015-09-17,2013-11-20,,,None,US,[],2021-07-21T10:11:42.132884Z,CITATION NEEDED - https://xkcd.com/285/,[]
39395,ZKYN-9221-2374-5641-3454,COPPER,,satellites/COPPER.jpg,re-entered,2016-02-04,2013-11-20,,,None,US,[],2021-07-21T10:11:42.134225Z,CITATION NEEDED - https://xkcd.com/285/,[]
39398,BETY-3848-2495-6921-5325,BLACK KNIGHT-1,,satellites/BLACK_NIGHT-1.jpg,re-entered,2015-07-16,2013-11-20,,,None,US,[],2021-07-21T10:11:42.135558Z,CITATION NEEDED - https://xkcd.com/285/,[]
39400,IDXT-3826-9067-2235-0516,TRAILBLAZER,SPA-1,satellites/TRAILBLAZER.jpg,re-entered,2016-05-22,2013-11-20,,,None,US,[],2021-07-21T10:11:42.136868Z,CITATION NEEDED - https://xkcd.com/285/,[]
39402,KSZC-6848-0487-5505-8533,SWAMPSAT,,satellites/SWAMPSAT.jpg,re-entered,2015-12-13,2013-11-20,,,None,US,[],2021-07-21T10:11:42.138170Z,CITATION NEEDED - https://xkcd.com/285/,[]
39405,ILFI-5093-5072-3892-5139,CHARGERSAT-1,,satellites/CHARGERSAT-1.jpg,re-entered,2016-03-19,2013-11-20,,,None,US,[],2021-07-21T10:11:42.139538Z,CITATION NEEDED - https://xkcd.com/285/,[]
39407,IKDT-3371-2990-6146-7410,VERMONT LUNAR,,satellites/VERMONT_LUNAR.jpg,re-entered,2015-11-21,2013-11-20,,,None,US,[],2021-07-21T10:11:42.140941Z,CITATION NEEDED - https://xkcd.com/285/,[]
39417,GRVM-9505-5712-0753-7014,ZACUBE-1,"South Africa CubeSat-1, TshepisoSat, ZA003",satellites/index.jpeg,alive,,2013-11-21,,,None,SAFR,[],2021-07-21T10:11:42.142323Z,CITATION NEEDED - https://xkcd.com/285/,[]
39426,KKXC-8350-8272-9450-3056,CINEMA-3,KHUSAT-2,satellites/CINEMA-3_8CJmlaD.jpg,alive,,2013-11-21,,,None,US,[],2021-07-21T10:11:42.143704Z,CITATION NEEDED - https://xkcd.com/285/,[]
39427,APZD-5343-3708-9744-3445,TRITON-1,,satellites/delfi-next__1.jpg,alive,,2013-11-21,,,None,UK,[],2021-07-21T10:11:42.145094Z,CITATION NEEDED - https://xkcd.com/285/,[]
39428,LDFA-5547-3453-6167-7352,DELFI-N3XT,,satellites/DELFI-N3XT.jpg,alive,,2013-11-21,,,None,NETH,[{'decoder': 'delfin3xt'}],2021-07-21T10:11:42.146499Z,CITATION NEEDED - https://xkcd.com/285/,[]
39430,ZFJP-4482-3637-6524-3782,GOMX 1,GATOSS,satellites/GOMX1_AutoE.jpeg,alive,,2013-11-21,,,None,DEN,[],2021-07-21T10:11:42.147932Z,CITATION NEEDED - https://xkcd.com/285/,[]
39431,LSAZ-0698-4857-0580-9788,BRITE-PL,LEM,satellites/BRITE-PL.jpg,alive,,2013-11-21,,,None,POL,[],2021-07-21T10:11:42.149233Z,CITATION NEEDED - https://xkcd.com/285/,[]
39432,EAJC-4988-4301-3837-9744,ICUBE-1,,satellites/ICUBE-1.jpg,alive,,2013-11-21,,,None,PAKI,[],2021-07-21T10:11:42.150500Z,CITATION NEEDED - https://xkcd.com/285/,[]
39433,ISTU-1593-3487-2251-7574,HUMSAT-D,,satellites/humsat-d__1.jpg,alive,,2013-11-21,,,None,SPN,[],2021-07-21T10:11:42.151862Z,CITATION NEEDED - https://xkcd.com/285/,[]
39436,ZGDU-9244-7828-7079-5280,EAGLE 2,,satellites/50sat-eagle2.jpg,re-entered,2018-05-19,2013-11-21,,,None,US,[],2021-07-21T10:11:42.153214Z,CITATION NEEDED - https://xkcd.com/285/,[]
39438,FVZE-6295-2194-3210-6337,VELOX-PII,,satellites/VeloxPII_Auto1.jpeg,alive,,2013-11-21,,,None,SING,[],2021-07-21T10:11:42.154637Z,CITATION NEEDED - https://xkcd.com/285/,[]
39439,UESX-7919-5228-5020-3244,FIRST-MOVE,,satellites/First-MOVE.png,alive,,2013-11-21,,,None,GER,[],2021-07-21T10:11:42.155979Z,CITATION NEEDED - https://xkcd.com/285/,[]
39440,MRQX-2618-0103-4345-3937,CUBEBUG-2,LO-74,satellites/cubebug-1__1.jpg,alive,,2013-11-21,,,None,ARGN,[],2021-07-21T10:11:42.157355Z,CITATION NEEDED - https://xkcd.com/285/,[]
39441,KUWT-6327-2943-5724-0911,NEE-02 KRYSAOR,NEE-02,satellites/NEE-02_KRYOSAOR.jpg,alive,,2013-11-21,,,None,ECU,[],2021-07-21T10:11:42.158689Z,CITATION NEEDED - https://xkcd.com/285/,[]
39444,OTOF-8025-8953-4756-4779,FUNCUBE-1,AO-73,satellites/FUNCUBE-1.jpg,alive,,2013-11-21,,,None,UK,[],2021-07-21T10:11:42.160070Z,CITATION NEEDED - https://xkcd.com/285/,[]
39445,JPSK-5862-0649-3000-0292,HINCUBE,,satellites/HINCUBE.jpg,alive,,2013-11-21,,,None,NOR,[],2021-07-21T10:11:42.161405Z,CITATION NEEDED - https://xkcd.com/285/,[]
39446,AAXX-7141-8998-4196-8344,UWE-3,,satellites/uwe-1__1.jpg,alive,,2013-11-21,,,None,GER,[],2021-07-21T10:11:42.162785Z,CITATION NEEDED - https://xkcd.com/285/,[]
39463,PIQA-7850-4787-3437-4933,FIREBIRD-A,"FIREBIRD-1, FU1",satellites/FB_FU1and2.jpg,alive,,2013-12-06,,http://www.ssel.montana.edu/firebird.html,None,US,[],2021-07-21T10:11:42.164111Z,CITATION NEEDED - https://xkcd.com/285/,[]
39464,FAPD-5101-4024-2322-5857,FIREBIRD-B,"FIREBIRD-2, FU2",satellites/FB_FU1and2_b0xID3I.jpg,alive,,2013-12-06,,http://www.ssel.montana.edu/firebird.html,None,US,[],2021-07-21T10:11:42.165504Z,CITATION NEEDED - https://xkcd.com/285/,[]
39469,SSBD-3811-5706-8042-1219,MCUBED-2,,satellites/MCUBED-2.jpg,alive,,2013-12-06,,,None,US,[{'decoder': 'mxl'}],2021-07-21T10:11:42.167065Z,CITATION NEEDED - https://xkcd.com/285/,[]
39471,IMUE-5672-2044-2610-5888,CP8,IPEX,satellites/CP8.png,alive,,2013-12-06,,https://www.polysat.org/launched,None,US,[],2021-07-21T10:11:42.169949Z,CITATION NEEDED - https://xkcd.com/285/,[]
39492,FVRJ-8983-9120-1903-4578,AIST-1,,satellites/aist__1.jpg,alive,,2013-12-28,,,None,CIS,[],2021-07-21T10:11:42.172772Z,CITATION NEEDED - https://xkcd.com/285/,[]
39770,EGOY-0622-3973-5317-4250,SPROUT,,satellites/SPROUT.png,alive,,2014-05-24,,,None,JPN,[],2021-07-21T10:11:42.175557Z,CITATION NEEDED - https://xkcd.com/285/,[]
40012,RJRN-2264-7831-8205-7763,UNISAT-6,,satellites/unisat-6__1.jpg,alive,,2014-06-19,,,None,IT,[{'decoder': 'us6'}],2021-07-21T10:11:42.178263Z,CITATION NEEDED - https://xkcd.com/285/,[]
40014,GPLA-1467-3987-8284-6460,BUGSAT-1,TITA,satellites/bugsat-1__1.jpg,alive,,2014-06-19,,,None,ARGN,[{'decoder': 'bugsat1'}],2021-07-21T10:11:42.180923Z,CITATION NEEDED - https://xkcd.com/285/,[]
40021,KVVP-7917-6314-8782-3778,DUCHIFAT-1,,satellites/duchifat-1__1.jpg,alive,,2014-06-19,,,None,ISRA,[],2021-07-21T10:11:42.183515Z,CITATION NEEDED - https://xkcd.com/285/,[]
40024,YAQZ-5189-9885-8827-9333,NANOSATC-BR1,"NCBR-1
NCBR1",satellites/nanosat.jpg,alive,,2014-06-19,,,None,BRAZ,[],2021-07-21T10:11:42.186099Z,CITATION NEEDED - https://xkcd.com/285/,[]
40025,GJDY-0208-2030-6329-7076,QB50P1,"EO 79, European-OSCAR 79, FUNcube 3, EO-79",satellites/qb50p1__1.jpg,alive,,2014-06-19,,,None,BEL,[],2021-07-21T10:11:42.188695Z,CITATION NEEDED - https://xkcd.com/285/,[]
40030,VLOV-4213-3168-9454-2191,DTUSAT-2,,satellites/DTUSAT-2.jpg,alive,,2014-06-19,,,None,DEN,[],2021-07-21T10:11:42.191271Z,CITATION NEEDED - https://xkcd.com/285/,[]
40032,HHWQ-8145-7306-2252-6043,QB50P2,"EO 80, European-OSCAR 80, EO-80",satellites/qb50p2__1.jpg,alive,,2014-06-19,,,None,BEL,[],2021-07-21T10:11:42.192757Z,CITATION NEEDED - https://xkcd.com/285/,[]
40042,UIYC-4491-1380-9406-8215,POLYITAN-1,,satellites/polyitan.jpg,alive,,2014-06-19,,,None,UKR,[],2021-07-21T10:11:42.194176Z,CITATION NEEDED - https://xkcd.com/285/,[]
40043,XCTT-8747-8578-2256-0351,TIGRISAT,,satellites/tigrisat__1.jpg,alive,,2014-06-19,,,None,IRAQ,[],2021-07-21T10:11:42.195590Z,CITATION NEEDED - https://xkcd.com/285/,[]
40054,ZRIM-9073-8711-5268-6171,AISAT,,satellites/aisat__1.jpg,alive,,2014-06-30,,,None,GER,[],2021-07-21T10:11:42.196966Z,CITATION NEEDED - https://xkcd.com/285/,[]
